id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,,,alpha-2,name,iso_country,,,,sub_div_codes,name,iso_region
5899,SBES,small_airport,São Pedro da Aldeia Airport,-22.81290054,-42.09260178,61,SA,Brazil,Rio de Janeiro,São Pedro Da Aldeia,no,SBES,0,,,,,,,AF,Afghanistan,BR,Brazil,,,AZ-OGU,Oguz,
5909,SBGP,small_airport,EMBRAER - Unidade Gavião Peixoto Airport,-21.77370071,-48.40510178,1998,SA,Brazil,S�o Paulo,Gavião Peixoto,no,SBGP,0,,,http://en.wikipedia.org/wiki/Embraer_Unidade_Gavi%C3%A3o_Peixoto_Airport,,,,AX,Åland Islands,BR,Brazil,,,AZ-ORD,Ordubad,
5933,SBLS,small_airport,Lagoa Santa Airport,-19.66160011,-43.89640045,2795,SA,Brazil,Minas Gerais,Lagoa Santa,no,SBLS,0,,,,,,,AL,Albania,BR,Brazil,,,AZ-QAB,Q?b?l?,
30157,SDDJ,small_airport,Fazenda Santa Maria Airport,-20.84889984,-50.07939911,1525,SA,Brazil,S�o Paulo,Monções,no,SDDJ,0,,,,,,,DZ,Algeria,BR,Brazil,,,AZ-QAX,Qax,
30235,SDDV,small_airport,Usina Catanduva Airport,-21.12689972,-48.84469986,1860,SA,Brazil,S�o Paulo,Palmares Paulista,no,SDDV,0,,,,,,,AS,American Samoa,BR,Brazil,,,AZ-QAZ,Qazax,
29864,SDFC,small_airport,Fazenda Constância Airport,-20.48859978,-49.18809891,1673,SA,Brazil,S�o Paulo,Altair,no,SDFC,0,,,,,,,AD,Andorra,BR,Brazil,,,AZ-QBA,Quba,
29887,SDGC,small_airport,Garça Airport,-22.18359947,-49.65610123,2182,SA,Brazil,S�o Paulo,Garça,no,SDGC,0,,,,,,,AO,Angola,BR,Brazil,,,AZ-QBI,Qubadli,
29985,SDJC,small_airport,Jaboticabal Airport,-21.22999954,-48.28469849,2024,SA,Brazil,S�o Paulo,Jaboticabal,no,SDJC,0,,,,,,,AI,Anguilla,BR,Brazil,,,AZ-QOB,Qobustan,
30374,SDJO,small_airport,São Joaquim da Barra Airport,-20.59329987,-47.84220123,2136,SA,Brazil,S�o Paulo,São Joaquim Da Barra,no,SDJO,0,,,,,,,AQ,Antarctica,BR,Brazil,,,AZ-QUS,Qusar,
29863,SDJZ,small_airport,Fazenda Barra do Agudo Airport,-20.80830002,-48.22190094,1608,SA,Brazil,S�o Paulo,Morro Agudo,no,SDJZ,0,,,,,,,AG,Antigua and Barbuda,BR,Brazil,,,AZ-SA,S?ki,
30089,SDLC,small_airport,Lucélia Airport,-21.74939919,-51.0182991,1476,SA,Brazil,S�o Paulo,Lucélia,no,SDLC,0,,,,,,,AR,Argentina,BR,Brazil,,,AZ-SAB,Sabirabad,
30067,SDLL,small_airport,Leme Airport,-22.2269001,-47.38219833,2024,SA,Brazil,S�o Paulo,Leme,no,SDLL,0,,,,,,,AM,Armenia,BR,Brazil,,,AZ-SAD,S?d?r?k,
30121,SDLY,small_airport,Matão Airport,-21.62310028,-48.35250092,2083,SA,Brazil,S�o Paulo,Matão,no,SDLY,0,,,,,,,AW,Aruba,BR,Brazil,,,AZ-SAH,Sahbuz,
30141,SDMH,small_airport,Mirassol Airport,-20.80719948,-49.48609924,1916,SA,Brazil,S�o Paulo,Mirassol,no,SDMH,0,,,,,,,AU,Australia,BR,Brazil,,,AZ-SAK,S?ki,
30148,SDMJ,small_airport,Mogi Mirim Airport,-22.40999985,-46.90530014,2274,SA,Brazil,S�o Paulo,Mogi Mirim,no,SDMJ,0,,,,,,,AT,Austria,BR,Brazil,,,AZ-SAL,Salyan,
30197,SDNH,small_airport,Novo Horizonte Airport,-21.49780083,-49.2344017,1526,SA,Brazil,S�o Paulo,Novo Horizonte,no,SDNH,0,,,,,,,AZ,Azerbaijan,BR,Brazil,,,AZ-SAR,S?rur,
30193,SDNL,small_airport,Fazenda São Francisco do Itaquerê Airport,-21.75970078,-48.58610153,1877,SA,Brazil,S�o Paulo,Nova Europa,no,SDNL,0,,,,,,,BS,Bahamas,BR,Brazil,,,AZ-SAT,Saatli,
30289,SDPV,small_airport,Presidente Venceslau Airport,-21.8932991,-51.88439941,1460,SA,Brazil,S�o Paulo,Presidente Venceslau,no,SDPV,0,,,,,,,BH,Bahrain,BR,Brazil,,,AZ-SBN,Sabran,
32276,SDRA,small_airport,Fazenda das Represas Airport,-23.87560081,-48.05179977,2271,SA,Brazil,S�o Paulo,São Miguel Arcanjo,no,SDRA,0,,,,,,,BD,Bangladesh,BR,Brazil,,,AZ-SIY,Siy?z?n,
30221,SDSJ,small_airport,Fazenda São João Airport,-20.74559975,-47.93360138,2172,SA,Brazil,S�o Paulo,Orlândia,no,SDSJ,0,,,,,,,BB,Barbados,BR,Brazil,,,AZ-SKR,S?mkir,
30503,SDTO,small_airport,Fazenda Cataco Airport,-21.2635994,-49.79309845,1447,SA,Brazil,S�o Paulo,Ubarana,no,SDTO,0,,,,,,,BY,Belarus,BR,Brazil,,,AZ-SM,Sumqayit,
30410,SDVS,small_airport,Fazenda Vassoural Airport,-21.07279968,-48.03419876,1801,SA,Brazil,S�o Paulo,Pontal,no,SDVS,0,,,,,,,BE,Belgium,BR,Brazil,,,AZ-SMI,Samaxi,
29865,SIAM,small_airport,Fazenda Palmital Airport,-20.69639969,-48.28639984,1709,SA,Brazil,S�o Paulo,Morro Agudo,no,SIAM,0,,,,,,,BZ,Belize,BR,Brazil,,,AZ-SMX,Samux,
29923,SIII,small_airport,Doutor Heráclito da Motta Luiz Airport,-20.43309975,-48.22439957,1798,SA,Brazil,S�o Paulo,Guaíra,no,SIII,0,,,,,,,BJ,Benin,BR,Brazil,,,AZ-SR,Sirvan,
29977,SISP,small_airport,Santa Paula Airport,-20.70389938,-49.39139938,1860,SA,Brazil,S�o Paulo,Ipiguá,no,SISP,0,,,,,,,BM,Bermuda,BR,Brazil,,,AZ-SUS,Susa,
29718,SNBO,small_airport,Boquira Airport,-12.79059982,-42.72890091,1886,SA,Brazil,Bahia,Boquira,no,SNBO,0,,,,,,,BT,Bhutan,BR,Brazil,,,AZ-TAR,T?rt?r,
29749,SNCE,small_airport,Campo do Meio Airport,-21.10610008,-45.80469894,2559,SA,Brazil,Minas Gerais,Campo Do Meio,no,SNCE,0,,,,,,,BO,Bolivia (Plurinational State of),BR,Brazil,,,AZ-TOV,Tovuz,
29752,SNCV,small_airport,Campina Verde Airport,-19.53809929,-49.49499893,1805,SA,Brazil,Minas Gerais,Campina Verde,no,SNCV,0,,,,,,,BQ,"Bonaire, Sint Eustatius and Saba",BR,Brazil,,,AZ-UCA,Ucar,
32333,SNEM,small_airport,Encanta Moça Airport,-8.094169617,-34.89279938,10,SA,Brazil,Pernambuco,Recife,no,SNEM,0,,,,,,,BA,Bosnia and Herzegovina,BR,Brazil,,,AZ-XA,Xank?ndi,
32334,SNFO,small_airport,Formiga Airport,-20.39529991,-45.48360062,3337,SA,Brazil,Minas Gerais,Formiga,no,SNFO,0,,,,,,,BW,Botswana,BR,Brazil,,,AZ-XAC,Xa�maz,
29910,SNGJ,small_airport,Grajaú Airport,-5.800280094,-46.13389969,773,SA,Brazil,Maranh�o,Grajaú,no,SNGJ,0,,,,,,,BV,Bouvet Island,BR,Brazil,,,AZ-XCI,Xocali,
29793,SNKL,small_airport,Colinas Airport,-5.966939926,-44.23389816,394,SA,Brazil,Maranh�o,Colinas,no,SNKL,0,,,,,,,BR,Brazil,BR,Brazil,,,AZ-XIZ,Xizi,
30152,SNMB,small_airport,Mombaça Airport,-5.744170189,-39.62139893,748,SA,Brazil,Cear�,Mombaça,no,SNMB,0,,,,,,,IO,British Indian Ocean Territory,BR,Brazil,,,AZ-XVD,Xocav?nd,
30159,SNMS,small_airport,Monte Santo de Minas Airport,-21.17580032,-46.95890045,2936,SA,Brazil,Minas Gerais,Monte Santo De Minas,no,SNMS,0,,,,,,,BN,Brunei Darussalam,BR,Brazil,,,AZ-YAR,Yardimli,
30163,SNOC,small_airport,Morro do Chapéu Airport,-11.53439999,-41.17969894,3609,SA,Brazil,Bahia,Morro Do Chapéu,no,SNOC,0,,,,,,,BG,Bulgaria,BR,Brazil,,,AZ-YE,Yevlax,
30205,SNOE,small_airport,Oeiras Airport,-7.018889904,-42.16719818,820,SA,Brazil,Piau�,Oeiras,no,SNOE,0,,,,,,,BF,Burkina Faso,BR,Brazil,,,AZ-YEV,Yevlax,
30229,SNOF,small_airport,Ouro Fino Airport,-22.29750061,-46.3932991,2818,SA,Brazil,Minas Gerais,Ouro Fino,no,SNOF,0,,,,,,,BI,Burundi,BR,Brazil,,,AZ-ZAN,Z?ngilan,
